,IC
20210713,0.12847647700890877
20210714,0.13444275527782729
20210715,0.11231434380609269
20210716,0.07653039615094238
20210719,0.08034709417329776
20210720,0.056461257220374574
20210721,0.04349084308258608
20210722,0.05002061753575516
20210723,0.062364463823940626
20210726,0.06935056795417012
20210727,0.15700640715311756
20210728,0.14854247157649358
20210729,0.1286542058760925
20210730,0.12362440328879835
20210802,0.13838354936563596
20210803,0.10902778424125514
20210804,0.09660761535120906
20210805,0.041269056491487086
20210806,-0.002864253199274634
20210809,0.05669510895916355
20210810,0.04300719961508537
20210811,0.022067968037461864
20210812,0.044769749117470704
20210813,0.03231604421238058
20210816,0.08498796372472495
20210817,0.11329718505185926
20210818,0.0852769318650447
20210819,0.06392610323365211
20210820,0.046814889100601116
20210823,0.013255976923397384
20210824,-0.039867071341684775
20210825,-0.09309687855119435
20210826,-0.10029290909924361
20210827,-0.17814388874177428
20210830,-0.17947433828065762
20210831,-0.2551711883631546
20210901,-0.18077254391988168
20210902,-0.23962925533886817
20210903,-0.18847665202578387
20210906,-0.17061894602617986
20210907,-0.15630209894497926
20210908,-0.07183008804346099
20210909,-0.060679981766944086
20210910,-0.07385700024283222
20210913,-0.05043562886325422
20210914,-0.11771006351126177
20210915,-0.08622647635129069
20210916,-0.018186226239165843
20210917,0.03284587334262244
20210920,
20210921,
20210922,-0.020340844656089548
20210923,-0.009861322896185328
20210924,-0.006359876620413943
20210927,0.023380337578497
20210928,-0.02368150028627935
20210929,0.02592261680865318
20210930,-0.07281238964977955
20211008,-0.008447509687642416
20211011,0.025097176493432845
20211012,0.02125307103405085
20211013,0.008956051274105606
20211014,-0.010413074003658613
20211015,-0.09992072267380021
20211018,-0.16367739244627869
20211019,-0.15677247436260677
20211020,-0.13536724152113716
20211021,-0.14471778170528388
20211022,-0.05656490168983989
20211025,-0.11831248306163718
20211026,-0.15848663915652236
20211027,-0.20528838422945672
20211028,-0.12744757246927255
20211029,-0.10005264009860253
20211101,-0.126363692722303
20211102,-0.12779085325100029
20211103,-0.07106163009337778
20211104,-0.06338531131988573
20211105,0.08134225836427621
20211108,0.016692296975164844
20211109,0.014554706454639877
20211110,0.013145588438696822
20211111,0.02469006912103324
20211112,0.021697453725249345
20211115,0.04627860768549263
20211116,0.06867241297448812
20211117,0.034434426960541754
20211118,-0.05670897008621357
20211119,-0.10952760437755235
20211122,-0.16812233023225975
20211123,-0.17060279206906281
20211124,-0.10854791846871692
20211125,-0.1207646704066991
20211126,-0.16856044660528785
20211129,-0.20927428053565808
20211130,-0.20245624279819852
20211201,-0.19501216420360576
20211202,-0.18706125072643479
20211203,-0.29175945785479956
20211206,-0.34876731820538104
20211207,-0.32121401681433215
20211208,-0.3649194728429267
20211209,-0.3546078975744241
20211210,-0.37231425833166004
20211213,-0.37402711771321023
20211214,-0.3545076576248478
20211215,-0.33053949277985717
20211216,-0.362589876222024
20211217,-0.31890788072662607
20211220,-0.33535500488996184
20211221,-0.31375988846673647
20211222,-0.3279720510680742
20211223,-0.32915102935253293
20211224,-0.25620518920393826
20211227,-0.20558605615975542
20211228,-0.2083166418618748
20211229,-0.24066530270086445
20211230,-0.18974883488812017
20211231,-0.23127259430231914
20220104,-0.14445074091274665
20220105,-0.08032441943864543
20220106,-0.09220497267633104
20220107,-0.08338880366547931
20220110,-0.012146075887330597
20220111,0.01917711077243991
20220112,0.02884176652328123
20220113,0.034614435605095986
20220114,-0.017204542828285877
20220117,0.016320918076838012
20220118,0.05507308575071414
20220119,0.11650492494451874
20220120,0.1760966429092182
20220121,0.18714053768628022
20220124,0.14601927254618025
20220125,0.13474178627242459
20220126,0.1126188762557985
20220127,0.09908731097242185
20220128,0.10008980327829199
20220207,0.08302622753544203
20220208,0.14133830674019343
20220209,0.16265607258664866
20220210,0.13974424031575666
20220211,0.14179293298777448
20220214,0.12441945264010638
20220215,0.1482716270800428
20220216,0.14104367584262925
20220217,0.1272304926059644
20220218,0.16349957330948905
20220221,0.1721769892161315
20220222,0.1675263680219069
20220223,0.11689620695336485
20220224,0.10462698398180495
20220225,0.05981355448765958
20220228,0.029072486331974814
20220301,0.024446908620930914
20220302,-0.01849213454963717
20220303,-0.011498561001043319
20220304,-0.01529878917463709
20220307,-0.03088087949920306
20220308,-0.015017197820886688
20220309,-0.0739475844799885
20220310,-0.12011224866817415
20220311,-0.07817823434896405
20220314,-0.051543003657905595
20220315,-0.07243933230099342
20220316,-0.11411153563704689
20220317,-0.09397389699284406
20220318,-0.12165152248863219
20220321,-0.16170489104562705
20220322,-0.18530570859777182
20220323,-0.19883142172649718
20220324,-0.2156183337059402
20220325,-0.16211555861777072
20220328,-0.13377713112114895
20220329,-0.13699708013453793
20220330,-0.13711621216440184
20220331,-0.1105969577933936
20220401,-0.08952050006531082
20220406,-0.04431602199159516
20220407,-0.03549040006624378
20220408,-0.05506589658707282
20220411,-0.014337079071568493
20220412,0.0022903259310712194
20220413,0.027991539295836806
20220414,0.0330395623903443
20220415,0.09191173128201617
20220418,0.07890402599978208
20220419,0.08700630504981932
20220420,0.10944789325814624
20220421,0.1705174240931931
20220422,0.1828586317331948
20220425,0.21444420758510802
20220426,0.2087971512740845
20220427,0.13823253784228848
20220428,0.0966950829161969
20220429,0.08853314773627506
20220505,0.0975997600066291
20220506,0.08510361546495532
20220509,0.06799549647486157
20220510,0.07951650484207824
20220511,0.0989245358310169
20220512,0.10846411242011755
20220513,0.08048868120530953
20220516,0.03450526127534684
20220517,0.023893178421482
20220518,0.015423842772722726
20220519,-0.03284198747502381
20220520,-0.03270826122650026
20220523,-0.024074642709496025
20220524,-0.019076296355187917
20220525,-0.05164300445326567
20220526,-0.06435614512482324
20220527,-0.09827332527872636
20220530,-0.13230399963265213
20220531,-0.08063798321837534
20220601,-0.049597536096371735
20220602,-0.0042618374943405625
20220606,0.04365055682325373
20220607,-0.004457900059838141
20220608,0.014534651127671083
20220609,-0.02642796903277549
20220610,-0.01752873037149118
20220613,0.01336644195833358
20220614,0.03206267861846994
20220615,0.056306256742355
20220616,0.07978737438922232
20220617,0.07767092149737273
20220620,0.09427390537994024
20220621,0.09651963227913392
20220622,0.042252777044466235
20220623,0.058403375249685724
20220624,0.06436119616561607
20220627,0.08825674529416883
20220628,0.08794435375600279
20220629,0.07688624704037345
20220630,0.08614247129506744
20220701,0.06861377141537225
20220704,0.056549881376681065
20220705,-0.0034894377935819902
20220706,-0.008421676228983902
20220707,-0.10761551585143843
20220708,-0.06943459694158453
20220711,-0.04693590888407503
20220712,-0.05612123779442762
20220713,-0.12055463880755223
20220714,-0.13544144556214988
20220715,-0.08672662200411706
20220718,-0.06827956736308469
20220719,-0.0728123552977626
20220720,-0.059814139826103396
20220721,-0.030019680489428945
20220722,-0.030899585578842228
20220725,0.021215957371232698
20220726,-0.01057974414688652
20220727,-0.0030357902445820374
20220728,0.04130661310882324
20220729,0.03957749576035647
20220801,0.021783590633727264
20220802,-0.007225515175282411
20220803,0.06500366548231665
20220804,0.06103218677228293
20220805,0.14925946207590574
20220808,0.1652970342031779
20220809,0.18862679839371158
20220810,0.2154753690843239
20220811,0.20981619515597882
20220812,0.20298728163410243
20220815,0.14131674997355237
20220816,0.08142280513231719
20220817,0.053279947865813755
20220818,0.09536666826269345
20220819,0.11484057543096729
20220822,0.11490853816993
20220823,0.09026985192983915
20220824,0.08289025762477648
20220825,0.08971292590717596
20220826,0.05647579577834341
20220829,-0.006478601078308868
20220830,0.015883898414704622
20220831,0.06746964993347325
20220901,0.06183277706208245
20220902,0.08296123507590353
20220905,0.057503547605037744
20220906,-0.013407195016752969
20220907,-0.06487119734329119
20220908,-0.10073445912830914
20220909,-0.03621471971115163
20220913,-0.02349752100950837
20220914,-0.04024068342232441
20220915,0.04196957468366352
20220916,0.03853919255529466
20220919,0.06810740355901163
20220920,-0.024486776639291278
20220921,-0.04628528460606504
20220922,-0.06206084350177679
20220923,-0.06548871844653378
20220926,-0.09932228404151353
20220927,-0.07972219818498558
20220928,-0.020833892487870494
20220929,-0.018057768526916186
20220930,-0.02637536275314335
20221010,-0.03301762993507143
20221011,-0.030408191554123377
20221012,-0.04770292636796108
20221013,-0.06351463646809863
20221014,-0.0938558346773664
20221017,-0.08724306420471459
20221018,-0.11588770489202188
20221019,-0.14147993529496855
20221020,-0.11794957018107408
20221021,-0.12207319413710635
20221024,-0.12014713193166524
20221025,-0.13607678341764512
20221026,-0.06975011710481846
20221027,-0.02334956009188087
20221028,-0.0015894211372465396
20221031,0.030819717224543318
20221101,0.06145606029259809
20221102,0.03593464359313281
20221103,0.025849304617677937
20221104,-0.011165502888092054
20221107,0.020918123034518378
20221108,0.04959697081963634
20221109,0.03517872886217716
20221110,-0.03163163726837914
20221111,-0.05348044020236586
20221114,0.0004820615472749701
20221115,0.026126758917850563
20221116,0.01370987037974628
20221117,0.024836507201171778
20221118,0.027420965821454705
20221121,0.012029489615091385
20221122,-0.008749340139816882
20221123,-0.0655674988568587
20221124,-0.09382892739354846
20221125,-0.08404381373795573
20221128,-0.09257305215189188
20221129,-0.06317018365587203
20221130,-0.05769043770443537
20221201,-0.026517783754693963
20221202,0.01755923738144621
20221205,0.033812188443267104
20221206,0.040189676372045215
20221207,0.005655987687319364
20221208,-0.01408995397454475
20221209,-0.008346050505718423
20221212,0.033059161845078816
20221213,-0.03727151306752939
20221214,-0.024733412690896288
20221215,-0.03718118535352262
20221216,-0.08445299416235862
20221219,-0.08653868616120625
20221220,-0.1031405260431674
20221221,-0.10076677784586315
20221222,-0.06372932653782849
20221223,-0.06455312778826712
20221226,-0.1471335421849009
20221227,-0.16067008770850483
20221228,-0.18384259886888982
20221229,-0.17658266421064125
20221230,-0.19422198942268637
20230103,-0.20564069333311025
20230104,-0.23624177047456874
20230105,-0.2202859297984546
20230106,-0.20872795036438055
20230109,-0.22108755347341721
20230110,-0.22475214244212843
20230111,-0.21214666302198065
20230112,-0.16119736911459306
20230113,-0.1739640220951684
20230116,-0.11053364632948084
20230117,-0.12469193831446684
20230118,-0.1357433600878585
20230119,-0.1010181477626009
20230120,-0.09428079249106995
20230130,-0.09198964529767151
20230131,-0.10229238289045782
20230201,-0.07017027510455855
20230202,-0.06472785771454949
20230203,-0.012643101037291197
20230206,0.030622136996820943
20230207,0.004517413524349128
20230208,-0.0770879583611596
20230209,-0.059528893678444154
20230210,-0.06477822702217519
20230213,-0.09760206064870347
20230214,-0.0688759879555857
20230215,-0.040452784707529624
20230216,-0.09223280464742906
20230217,-0.12064663899002007
20230220,-0.13178095257997
20230221,-0.16997755717056287
20230222,-0.19603189766400086
20230223,-0.20613688381319453
20230224,-0.19854120263321798
20230227,-0.1999648343565534
20230228,-0.20322200553109443
20230301,-0.1917282454967384
20230302,-0.12559786063346146
20230303,-0.13720089060412488
20230306,-0.18387657719491157
20230307,-0.153457805638507
20230308,-0.1345460184868008
20230309,-0.1120022090630916
20230310,-0.0813479130316987
20230313,-0.11481750283000167
20230314,-0.09521352756921098
20230315,-0.09564640111298991
20230316,-0.04281374011093322
20230317,-0.01569884883086733
20230320,-0.011709308027010855
20230321,-0.02046827745184211
20230322,0.021932835892924
20230323,0.03715736235379205
20230324,0.05957765237989724
20230327,0.09440354272392162
20230328,0.0998224472284805
20230329,0.09270947207744677
20230330,0.07023474403156536
20230331,0.030894891003291187
20230403,0.04908433319397546
20230404,0.04740842367563536
20230406,0.07313452235105879
20230407,0.04641881166220902
20230410,0.022354818000556338
20230411,0.02148239475962874
20230412,0.005882747951228239
20230413,0.033504481593049536
20230414,0.05680966070654468
20230417,0.06461895742030503
20230418,0.043384927454904215
20230419,0.00043384387937850616
20230420,-0.0038816882242900703
20230421,0.010537213508617716
20230424,0.02181001515473328
20230425,0.02236340949296315
20230426,0.09003952048094466
20230427,0.13291342199721937
20230428,0.11636716193459846
20230504,0.10429306293802777
20230505,0.15024067593201426
20230508,0.11958801447790353
20230509,0.16241477918357927
20230510,0.1163203290946855
20230511,0.1983985238706555
20230512,0.22613257611972826
20230515,0.2529698793140968
20230516,0.2775507201932668
20230517,0.25471606395420265
20230518,0.24865392218491378
20230519,0.273402131844943
20230522,0.2851577157335293
20230523,0.2820142197606228
20230524,0.22543193331338765
20230525,0.2156353783652632
20230526,0.1350415271092096
20230529,0.11278718450186657
20230530,0.04682485079431681
20230531,-0.012280692501852753
20230601,-0.031934024784161345
20230602,-0.005938377484202549
20230605,-0.05159827904625907
20230606,-0.06449324522629635
20230607,-0.13473586809252577
20230608,-0.09762186787940456
20230609,-0.16247794562992404
20230612,-0.15542251295604542
20230613,-0.15317982829106516
20230614,-0.16207723533843485
20230615,-0.16204587017049815
20230616,-0.1836366951716911
20230619,-0.24994827172317813
20230620,-0.300670941711338
20230621,-0.24451013922087264
20230626,-0.23404794639891233
20230627,-0.3243804745115359
20230628,-0.3290360542406824
20230629,-0.36807839179512375
20230630,-0.34894102972568275
20230703,-0.3266825451043432
20230704,-0.3145619685838853
20230705,-0.29640049956357956
20230706,-0.25391173605030265
20230707,-0.19156969962275594
20230710,-0.151691656678001
20230711,-0.1377135583258354
20230712,-0.14554837744454469
20230713,-0.19672855466339487
20230714,-0.18841888402531992
20230717,-0.2005262726746923
20230718,-0.2075621450403135
20230719,-0.1931517312530528
20230720,-0.19771131157076605
20230721,-0.15227273260679897
20230724,-0.08203557180168905
20230725,-0.06497457657833393
20230726,0.05732400016416618
20230727,0.006547984453813877
20230728,0.02720809307662451
20230731,0.12122656236527636
20230801,0.17274092128283025
20230802,0.19404682732783132
20230803,0.17738199807277724
20230804,0.09775808458542816
20230807,0.05249368479540283
20230808,0.049868990348935154
20230809,0.11199472956916978
20230810,0.11168284988129631
20230811,0.13119405387473107
20230814,0.03441762302555122
20230815,0.014841068971219711
20230816,0.03482674012762163
20230817,-0.007389327633759743
20230818,0.01288243266413241
20230821,-0.03867220159785126
20230822,-0.10226337557784873
20230823,-0.13022813126595423
20230824,-0.1248806359421449
20230825,-0.09754648918659774
20230828,-0.06950698506451747
20230829,-0.09301543045188378
20230830,-0.06820940332144973
20230831,-0.09395285108162124
20230901,-0.10933081309490346
20230904,-0.08709241628725128
20230905,-0.09335731054974399
20230906,-0.06346416028178947
20230907,-0.05808977758463286
20230908,-0.02267652631834757
20230911,-0.019770759077366435
20230912,0.006805012304990086
20230913,-0.0229124766070854
20230914,-0.016628913529940677
20230915,0.00905007084630891
20230918,0.019933429089028783
20230919,0.05819495555958684
20230920,-0.03363827865183251
20230921,-0.049440869653139326
20230922,-0.07370671771843591
20230925,-0.08947494936769827
20230926,-0.10246229519006751
20230927,-0.06600409043800985
20230928,-0.056633052850137026
20231009,-0.027186435809677386
20231010,-0.04021734806868187
20231011,-0.07610104217756422
20231012,-0.02202207726189082
20231013,0.019791833581381004
20231016,0.03298156507877481
20231017,-0.010512984879984746
20231018,0.03481384325371851
20231019,0.03579413071936647
20231020,0.10335375137311247
20231023,0.055297411636560455
20231024,0.03983936559895226
20231025,0.021708331750668164
20231026,-0.030472644647531303
20231027,0.05757703476172743
20231030,0.04250907198792107
20231031,0.053001986475286735
20231101,0.07576018496345016
20231102,0.11763755894212558
20231103,0.14671444672125147
20231106,0.12755283476123003
20231107,0.06713661103947507
20231108,0.10307662315039245
20231109,0.10669116594675362
20231110,0.1368876714177429
20231113,0.15039413397333212
20231114,0.14211842830837051
20231115,0.14304000796842084
20231116,0.12244342342310013
20231117,0.14527827348005354
20231120,0.15735729050395184
20231121,0.12877246317418503
20231122,0.1090444850280723
20231123,0.05426988660296852
20231124,0.07418250194764531
20231127,0.04396924633424069
20231128,0.09982825349963038
20231129,-0.012384748143157844
20231130,0.020059667328025638
20231201,
20231204,
20231205,
20231206,
20231207,
20231208,
20231211,
20231212,
20231213,
20231214,
20231215,
20231218,
20231219,
20231220,
20231221,
20231222,
20231225,
20231226,
20231227,
20231228,
20231229,
